iter	Passed	Remaining
0	1	152
1	2	134
2	3	122
3	4	111
4	5	108
5	8	125
6	10	143
7	12	143
8	14	144
9	15	141
10	16	136
11	18	132
12	19	128
13	20	123
14	21	120
15	22	119
16	24	119
17	25	116
18	26	113
19	27	110
20	28	108
21	30	106
22	31	104
23	32	101
24	32	98
25	34	97
26	35	95
27	36	93
28	37	91
29	38	89
30	39	87
31	40	85
32	41	83
33	42	82
34	43	80
35	44	79
36	45	77
37	46	75
38	47	74
39	48	73
40	50	71
41	50	69
42	51	68
43	53	67
44	53	65
45	54	64
46	55	63
47	56	61
48	57	60
49	58	58
50	59	57
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	47
58	67	46
59	67	45
60	68	44
61	69	42
62	70	41
63	71	40
64	72	39
65	74	38
66	75	36
67	76	35
68	76	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
